video_id,transcript,word_count,curiosity_score,curiosity_reasoning,critical_thinking_score,critical_thinking_reasoning,creativity_score,creativity_reasoning,labeling_status
jXQmVFcOiUI,"DEAN DAVID: As a university we really cherish international friendship and collaborations. But this was not a study abroad program, where we took our students abroad. Instead, we brought students to our campus. CHAIR RICHARDS: It's fascinating because there was a language barrier in a lot of cases, as well as a cultural barrier. And yet, they found ways to work. DEAN DAVID: Through international travel, you get an appreciation for other cultures, and we become broad-minded and open to new ideas. And this has to happen from the very early stages in one's career.",95,3,"The speaker, DEAN DAVID, shows engagement and openness to new ideas, particularly when discussing the benefits of international travel and collaborations. However, the curiosity is moderate as it doesn't delve into specific 'why' or 'how' questions about the cultural or language barriers. The discussion remains at a general appreciation level, as seen in 'we become broad-minded and open to new ideas'.",2,"The transcript lacks in-depth analysis or evaluation of the issues, such as the language and cultural barriers. While CHAIR RICHARDS mentions these barriers, the discussion doesn't critically examine potential solutions or the implications of these challenges. The responses are more descriptive, like DEAN DAVID's statement about becoming 'broad-minded and open to new ideas'.",2,"The ideas presented are not particularly novel or original, focusing on established concepts like the value of international collaborations and cultural exchange. There's no clear evidence of adapting solutions to new contexts or connecting unrelated concepts in innovative ways. The approach seems conventional, highlighting the importance of broad-mindedness without introducing transformative ideas.",success
kj63uF0RhW8,"Hello, my name is Emily Gasner, and I'm with Working Solutions, and I'll be talking about how to fund a business if you have no money. The first thing that you should do if you're thinking about starting a business is you figure out how much money you'll need to start that business. It's a great idea if you have a job or some kind of income that you can actually start saving so that when the time comes you can invest your own personal money into the business. If you don't have that option, you can also ask friends, family members, and other people who might be interested in the type of business that you're doing, to lend you money or to get you money so you can get started. If that's also not an option for you, one of the thins you might consider doing is looking into what is called an individual development account. These are savings programs that match, for every dollar you save, they have you dollars match, and then you can take the money that you saved and use it to start a business. There are nonprofit organizations around the United States that actually offer individual development accounts. So that's a great place to start if you don't have your own money, and friends and family aren't willing to lend or gift you money.",230,2,"The speaker presents various funding options without exploring the underlying reasons for financial constraints or delving deeper into the specifics of each option. The discussion remains at a surface level, lacking in-depth questions or explorations of 'why' certain methods are preferred over others, as seen in the straightforward presentation of individual development accounts.",3,"The speaker identifies different pros and cons implicitly by presenting multiple funding options, such as saving personal money, asking friends and family, or using individual development accounts. However, there's no explicit analysis of the potential drawbacks or limitations of these methods, such as the risks of borrowing from friends and family or the eligibility criteria for individual development accounts.",2,"The speaker's suggestions, like using individual development accounts or asking friends and family for money, are conventional and well-established methods for funding a business. There's a lack of novel or innovative approaches to addressing the challenge of starting a business with no money, indicating a more incremental than original thinking.",success
5HjbZAbB-Lg,"JASON KATCHER: Some education marketers can safely take risk these days, mainly due in part to the transparency and accountability that digital marketing allows them. In other traditional forms of advertising, you aren't able to close the loop as quickly as you would like to, meaning that when you run a television spot, or a radio spot, or a newspaper ad, it's extremely difficult to tie that back very quickly to what the actual result is. It usually takes days, or weeks, or months in some cases to go back and look at that information. But now that the world of search and display and Google and many other properties online allow you to have that instant transparency, we do close that loop much more quickly. So what used to take weeks or months or even years in some cases to truly understand how your advertising is fully working and looking backwards, you can now make those changes on the fly in a matter of minutes or hours. And that is a way that education providers can really start to embrace the world of digital marketing and incorporate it into their overall marketing strategies.",194,2,"The speaker does not exhibit a high level of curiosity as they primarily present established facts about digital marketing without exploring deeper questions or implications. They do acknowledge the benefits of digital marketing, such as 'instant transparency', but do not delve into the 'why' or 'how' behind these benefits. The discussion remains at a surface level, lacking inquisitive probes.",3,"The speaker demonstrates competent critical thinking by identifying the pros of digital marketing, such as the ability to 'close the loop much more quickly' and make changes 'on the fly'. However, they do not critically evaluate the potential downsides or limitations of digital marketing, nor do they analyze the underlying assumptions of their argument. The comparison to traditional forms of advertising shows some analytical structure.",2,"The speaker's ideas are largely incremental, building upon existing knowledge about digital marketing without introducing novel or transformative concepts. The suggestion that education providers 'embrace the world of digital marketing' is a conventional approach, and the speaker does not connect unrelated concepts or propose innovative solutions. The discussion is more about applying established principles rather than exploring new possibilities.",success
KB73TD4xQ8Y,"Based on a four-part framework that spans enabling technologies, new technological capabilities, new use cases and new business models, the PwC MIF is aimed at helping executives understand the evolutionary curve of technology innovation, which can lead to disruptive products that transform entire ecosystems. The new Mobile Innovations Forecast (MIF), is a new series that provides business leaders with insight and analysis about mobile innovation and the implications to their businesses. PwC believes that disruptive breakthroughs in mobile have resulted, in part, from the continuous progress of seven enabling components that underlie the power of the mobile device to sense, analyze, store and connect information. For the complete article, please go to Big4.com",113,2,"The transcript presents information in a straightforward manner without exploring deeper questions or seeking additional insights, indicating a low level of curiosity. The speaker does not ask questions or prompt further discussion, suggesting a lack of engagement with the topic beyond presenting the information. The mention of 'please go to Big4.com' implies a directive rather than an invitation to explore.",3,"The transcript demonstrates competent critical thinking by identifying key components (enabling technologies, new technological capabilities, new use cases, and new business models) and their role in technological innovation. However, it lacks deeper analysis, such as evaluating the implications of these components or considering potential biases in the framework. The presentation is logical but does not challenge assumptions or explore edge cases.",2,"The transcript primarily presents existing information and frameworks (like the PwC MIF) without introducing novel ideas or connections. The discussion about disruptive breakthroughs in mobile technology and the role of seven enabling components is informative but does not demonstrate original thinking or the ability to redefine the problem space. The overall approach is incremental, building upon established concepts rather than proposing innovative solutions.",success
BmDybDBTe7o,"Andy Byford: Hello, I’m Andy Byford I’m the Chief Executive Officer of the Toronto Transit Commission. I just want to say sorry for the poor subway service that we offered last night Monday the 18th of March. Let me explain what happened. Just as the evening peak was building we had two fire alerts, one at Eglinton, one at Keele station. Now in such circumstances we put safety first, we don’t take any risks. The service is suspended while we await the Toronto Fire Service to give us the all clear that we can resume services, and around the same time we had a number of passenger alarms, then there was a further incident at Dupont station in which the doors were opened in the tunnel while the train was stationary by a staff member and clearly we’re looking into how that could have happened. Two weeks ago I launched the inaugural customer charter in which we made 31 time bound commitments to improve the service. Key to that improvement is increased reliability and punctuality of the service and clearly we didn’t meet that objective last night. So once again I am sorry for the delays last night, I appreciate that it was a frustrating trip home. Thank you for taking the TTC.",213,2,"The transcript does not show Andy Byford seeking to explore new information or asking questions, but he does provide explanations for the incidents, indicating a basic level of engagement. There is no evidence of him probing deeper into the causes of the problems or exploring potential solutions. His focus is on apologizing and explaining the events.",3,"Andy Byford identifies the incidents that caused the service disruptions and explains the safety protocols that were followed, demonstrating a logical structure to his explanation. However, he does not critically evaluate the incidents, identify potential biases, or discuss long-term solutions to prevent similar disruptions. He references the customer charter, showing awareness of service improvement commitments.",1,"The transcript does not show any evidence of novel ideas or creative solutions to the problems faced by the TTC. Andy Byford's response is conventional, focusing on apologizing for the disruptions and explaining the events without proposing innovative solutions or approaches to improve the service.",success
XwOdPYlyqXA,"Hello, I'm Sarah Norris with Total Childcare Center in Wilmington, N.C. today we're going to talk about lesson plans for childcare teachers. It is important that a teacher have a lesson plan everyday. She may do it on a weekly basis or a monthly basis, but she needs to have a plan everyday within her classroom. And she working with if she's working with another teacher they should work together on the plans so that they both agree and know what the plans are going to Intel for that particular day. It's also important that they try to follow those plans unless there's an interruption that they absolutely cannot help, they need to try to be pretty consistent in following their plans for the day. The plans should follow the curriculum that is set for the facility. It should address the educational needs, it should address the social needs, it should address physical needs. There need to be plans for outside activities as well as inside activities. In N.C. it's required that teachers do have this lesson plan posted so that other administration can view those plans as well as parents and know what is happening. Teachers need to get the materials that they need to go along with their lesson plans at appropriate times so that they do not leave their classroom and affect their staff child ratio so they need to know ahead of what they're doing in order to collect those materials. It would be good to try to provide a time in the daily schedule that a teacher can do this in each classroom. So plans are very important for teachers to have they need to try to collect materials, they need to follow the plans, they need to know why they have made the plans that they have while they're doing the particular activities. What is the purpose behind the teaching of this particular activity that they are doing. Lesson Plans for teacher's are important.",330,2,"The speaker presents a straightforward and informative discussion on lesson plans without exploring deeper questions or seeking additional information. While they mention the importance of understanding the purpose behind teaching activities, there's no evidence of probing or exploring new ideas, as seen in statements like 'they need to know why they have made the plans that they have'.",3,"The speaker identifies key components of lesson plans, such as following the curriculum and addressing educational, social, and physical needs. They also recognize the importance of consistency and flexibility in plan execution, as noted in 'they need to try to follow those plans unless there's an interruption'. However, the analysis remains at a basic level without delving into complexities or evaluating potential biases.",1,"The discussion adheres strictly to conventional practices and requirements for lesson plans in childcare settings, such as posting plans for administration and parents. There's no evidence of novel ideas, adaptations, or innovative approaches to lesson planning, as the focus is on adhering to established standards and protocols.",success
3OMgvtWNHp4,"Transcriber: Amir Wilf Reviewer: Capa Girl There's a group of people in Kenya, people cross oceans to go see them. These people are tall, they jump high, they wear red and they kill lions. You might be wondering, who are those people? These are the Maasais. And you know what's cool? I'm actually one of them. (Laughter) The Maasais, the boys are brought up to be warriors, the girls are brought up to be mothers. When I was five years old, I found out that I was engaged, to be married as soon as I reach puberty. My mother, my grandmother, my aunties, they constantly reminded me that, ""Your husband just passed by."" (Laughter) Cool, yeah? And everything I had to do from that moment was to prepare me to be a perfect woman at the age of 12. My day started at five in the morning, milking the cows, sweeping the house, cooking for my siblings, collecting water, fire wood. I did everything that I needed to do, to become a perfect wife I went to school not because the Maasai women all go to school. It's because my mother was denied an eduction and she constantly reminded me and my siblings that, she never wanted us to live the life she was living. Why did she say that? My father worked as a policemen in the city, he came home once a year, we didn't see him for sometimes even 2 years. And whenever he came home, it was a different case. My mother worked hard in the farm to grow crop so that we can eat, she read the cows and the goats so that she can care for us. But when my father came, he would sell the cows, he would sell the products we had and he went and drank with his friends in the bars. Becasue my mother a women, she was not allowed to own any property and by default everything in my family, anyway, belonged to my father so he had the right. And if my mother ever questioned him, he'd beat her, abused her and really, it was difficult. When I went to school, I had a dream, I wanted to become a teacher. Teachers looked nice, they wear nice dresses, high-heeled shoes -- I found later that they were uncomfortable, but I admired it. (Laughter) But most of all, the teacher was just writing on the board -- not hard work, that's what I thought, compared to what I was doing at the farm, so I wanted to become a teacher. I worked hard in school, but when I was an eight grader, it was a determining factor. In our tradition, there's a ceremony that girls have to undergo to become a woman. And it's a right of passage to womanhood. And then I was just finishing my eight grade and that was a transition for me to go to higschool, this was the crossroad. Once I go through this tradtion I was going to become a wife. Well, my dream of becoming a teacher will not come to pass. So I had to come up with a plan to figure these things out. I talked to my father, I did something that most girls have never done. I told my father, I will only go through this ceremony if you'l let me go back to school. The reason why, if I ran away, my father will have a stigma, people will be calling him, ""The father of that girl who didn't go through the ceremony."" It was a shameful thing for him to carry the rest of his life. So he figured out - well, he said, ""OK, you'll go to school after the ceremony."" I did. The ceremony happenned, it's a whole week long of excitments. It's a ceremony, people are enjoying. And the day before the actual ceremony happens, we were dancing, having exceitments and through all the night, we did not sleep. The actual day came and we walked out of the house and we were dancing, as we danced and danced and we walked out of the courtyard and there were a bunch of people waiting, they were all in a circle. And as we dance and dance, and we approach this circle of women - men, women, children everybody was there. There was a women sitting in the middle of it and this women was waiting to hold us, and I was the first, there were my sisters and a couple of other girls. As I approach her, she looked at me and I sat down and I opened my legs. As I opened my leg, another women came, and this women was carrying a knife. And she carried the knife she walked towards me, and she held my clitoris, and she cut it off. As you can imagine, I bled. I bled. After bleeding for a while, I fainted there after. It's something that so many girls - I'm lucky I never died, but many die. It's practice with no anaesthesia, it's a rusty old knife and it was difficult. I was lucky because my mom did something that most women don't do three days later, after everybody has left the home my mom went and brought a nurse. We were taken care of, three weeks later I was healed and I was back in high school. I was so determined to be a teacher now so that I can make a difference in my family. Well, while I was in high school, something happened, I met another young gentlemen from our village who had been to the university of Oregon. This man was wearing a white T-shirt, jeans, a camera, white sneakers - and I'm talking about white sneakers. There's something about clothes I think and shoes. (Laughter) And this was in a village that didn't even have paved roads, it was quite attractive. (Laughter) I told him, ""I want to go to where you are,"" because this man looked very happy and I admired that. And he told me, ""Well, what do you mean you want to go, don't you have a husband waiting for you?"" And I told him, ""Don't worry about that part, just tell me how to get there."" This gentlemen, he helped me. While I was in school also, my dad was sick, he got a stroke - and he was really sick so he really couldn't tell me what to do next. But the problem is my father is not the only father I have. Everybody who is my dad's age, male, in the community, is my father by default. My uncles, all of them, they dictate what my future is. So the news came, and I applied to school and I was accepted to Randolph-Macon Woman's College, In Lynchburg, Virginia and I couldn't come without the support of the village because I needed to raise money to buy the air ticket. I got a scholarship, but I needed to get myself here. But I needed the support of the village and here again, when the men, the people heard that a women had gotten an opportunity to go to school they said, ""What a lost opportunity, this should have been given to a boy we can't do this."" So I went back, and I had to go back to the tradition. There's a belief among our people that morning brings good news. So, I had I to come up with something to do with the morning because there's good news in the morning. And in the village also there's one chief or person, male, an elder if he says ""Yes,""everybody will follow him. So I went to him, very early in the morning, as the sun had rised, the first thing that he sees when he opens his door is me. ""My child, what are you doing here?"" ""Well Dad, I need help, can you support me to go to America?"" I promised him that I'll be the best girl, I will come back anything they wanted after that, I will do it for them. He said, ""Well, but I can't do it alone."" He gave me a list of other 15 men that I went, 16 more men. Every single morning I went and visited them. They all came together - the village, the women, the men. Everybody came together to support me to come, to get an education. I arrived in America, as you can imagine, what did I find? (Laughter) I found snow, I found Walmart, vacuum cleaners and lots of food in the cafeteria. I was in a land of plenty. I enjoyed myself, but during that moment while I was here, I discovered a lot of things I learned that, that ceremony that I went through when I was 13 years old was called female genital mutilation. I learned that it was against the law in Kenya, I learned that, I did not have to trade part of my body to get and eduction, I had a right! And as we speak right now, three million girls in Africa are at risk of undergoing through this mutilation. I learned that my mom had a right to own property, I learned that did not have to abused because she was a women. Those things made me angry. I wanted to do something. Every time I went back, I found that my neighbours' girls were getting married, they were getting mutilated. And after I graduated from here, I worked at the UN, I went back to school to get my graduate work, the constant cry of these girls was on my face. I had to do something. As I went back, I started talking to the men, to the village, and mothers and I said, ""I want to give back the way I had promised you that I would come back and help you. What do you need?"" As I spoke to the women, they told me, ""You know what we need? We really need a school for girls."" Because there had not been any schools for girls. And the reason they wanted the school for girls is because when a girl is raped when she's walking to school the mother is blamed for that. If she got pregnant before she got married, the mother is blamed for that and she's punished, she's beaten. They said, ""We wanted to put our girls in a safe place."" As we moved, and I went to talk to the fathers, he fathers of course, you can imagine what they said, ""We want a school for boys."" And I said, well, there are a couple of many men from my village who had been out and they've got an education why can't they build a school for boys and I'll build a school for girls? That made sens and they agreed. And I told them, I wanted them to show me a sign of commitment and they did. They donated land where we build the girls' school, we have. I want you to meet one of the girls in that school. Angelene came to apply for the school and she did not meet any criterias that we had. She's an orphan, yes. We could have taken her for that, but she was 12 years old and we were taking in girls who were in the fourth grade. Everybody were telling us Angelene had been moving from one place, because she's an orphan, she has no mother, she has no father, moving from one grandmother's house to another one from aunties to aunties, she had no stability in her life. And people said, and I looked at her I remembered that day, and I saw something beyond what I was seeing in Angelene and yes she was older to be in fourth grade, we gave her the opportunity to come the class. Five months later, there is Angelene. A transformation had begun in her life Angelene wants to be a pilot so she can fly around the world and [make] a difference. She was not the top student when we took her, now she's the best student not just in our school, but in the entire division that we are in. She's showing different, that's Sharon, that's five years later, that's Avaleen, five months later, that's the difference that we are making As a new dawn is happening in my school A new beginning is happening, as we speak right now 125 girls will never be mutilated. 125 girls will not be married when they are 12 years old. 125 girls are creating and achieving their dreams. This is the thing that we are doing - giving them opportunities so they can rise. As we speak right now, women are not being beaten because of the revolutions we've started in our community. (Applause) I want to challenge you today you're listening to me because you are here very optimistic. You are somebody who is so passionate You are somebody who wants to see a better world. You are somebody who wants to see the war end. No poverty. You are somebody who wants to make a difference. You are somebody who wants to make our tomorrow better. I want to challenge today to be there first - because people will follow you. Be the first - people will follow you Be bold - standup. Be fearless. Be confident. Move out because as you change your world, as you change your community, as we believe we are impacting one girl, one family, one village, one country at a time. We are making a difference. So if you change your world, you're going to change your community, you're going to change your country. And think about that, if you do that and I do that, aren't we going to create a better future, for our children, for your children, for our grandchildren, and we will live in a very peaceful world. Thank you very much. (Applause)",2347,4,"The speaker demonstrates high curiosity by seeking knowledge and understanding of the world beyond her traditional upbringing, as seen when she learned about female genital mutilation being against the law in Kenya and her mother's right to own property. Her desire to learn and explore new ideas is evident in her pursuit of education and her interactions with people from different backgrounds, such as the gentleman from the University of Oregon. This curiosity drives her to challenge assumptions and seek change in her community.",5,"The speaker exhibits advanced critical thinking by analyzing complex issues, identifying biases and assumptions, and developing evidence-based solutions. For example, she critically evaluates the traditional practices in her community, such as female genital mutilation and the lack of education for girls, and develops a plan to address these issues by building a school for girls. Her ability to deconstruct systems and synthesize different viewpoints is demonstrated by her successful negotiation with the village elders to support her education and later, her project to build a school for girls.",5,"The speaker showcases transformative creativity by redefining the problem space and developing innovative solutions to address the complex issues in her community. Her idea to build a school for girls, despite the initial resistance from the village elders, is a paradigm-shifting approach that challenges traditional norms and creates new opportunities for girls in her community. The success of this project, as seen in the transformation of girls like Angelene, demonstrates the impact of her creative and visionary thinking.",success
3paDwuRQP1w,"In the last 40 years or so, human rights has become a worldwide, house-hold expression. It is certainly one of the dominant ideas of public ethics of our time. In the first classes of this course of introduction to human rights it is, then, necessary to deal with basic notions of ethics, particularly public ethics or, if you wish, ""political ethics"". In this very first class we will touch on four points: The world of norms; the meaning of morals versus ethics; the concept of normative systems; and different connotations of legal systems. Ethics and law are two disciplines which do not concern themselves with aspects of what actually exists, has existed, or may come to be. Physics, biology, history, economics or psychology, among many other disciplines, do so. Ethics and law deal with what ought to be. In other words, they deal with what is or should be considered right, just, fair or good. This is the world of what is called prescriptive norms, that is, rules which prescribe what must be done, what is permitted and what is prohibited. The realm of what actually is and the realm of what ought to be are logically disconnected. For instance, one may not conclude that because stealing is morally and legally prohibited, it does not happen. Conversely, it cannot be concluded either that because stealing does occur in practice, it is morally or legally acceptable. However, although the realm of what ought to be is not logically connected with reality, it does pull it, to some extent, toward what is considered desirable, in the manner of a gravitational force. The clearer and the more enforceable the ethical or legal norm, the greater the ""gravitational attraction"" it may exert over reality. Human fallibility predicts, however, that there will always be a lesser or greater measure of discrepancy between what actually is and what is deemed as just, fair or good. But this actually suggests that we, as human beings, have a choice of doing the right thing, and therefore we are free. An apple (say, Newton's apple) could not have ever been free when falling down inevitably to the ground. Morals and ethics do not mean exactly the same, although they tend to be used as synonyms and that is basically O.K. Morals is about formulating prescriptive norms based on what is being considered right or wrong or ultimately good or bad. Morals is also about passing moral judgment on actions on the basis of such norms. Ethics, instead, is about studying the field of morals. Drawing a parallel with the realm of the law, the expert in morals would be equivalent to the lawmaker or the judge in that he/she makes norms or applies them, whereas the expert in ethics would be equivalent to the jurist, in that he/she studies such activities and their product. In other words, while morals is what happens ""in the field"", ethics is the observation and appraisal of such actions from ""the benches"". Having clarified that distinction from an academic standpoint, let us repeat that we accept that morals and ethics are in practice used as the same. The elementary unit in the normative world is the norm, much as in the biological field is the cell and in the physical one, the atom. Many elements may be identified within the norm, cell or atom but they constitute the basic brick to build more complex structures within their respective realms. Norms form normative systems, that is, sets of norms on a given subject or addressed to a given group Normative systems are intended to protect or promote certain values within a society or internationally. These values may be organized hierarchically, with a general, all-encompassing value at the top and more specific ones down the ladder. For instance, concerning the human rights normative system, it may be said that at the peak one finds the overall value of ""human dignity"". On a more specific plane there are categories of values such as civil liberties. And in an even more specific level, there are rights such as the freedom of speech, the freedom of movement or the freedom of association. ""Cusp"" values or norms may be valid for all situations, but, at a more specific level, they may acquire particular connotations, depending on the characteristics of any given field. For instance, the norm ""to everyone his/her due"" changes colors regarding family relations (to everyone according to his/her necessity), schooling (to everyone according to his/her merit), or corporations (to everyone according to his/her control of corporate capital). This does not mean that some specific norms are weaker. It just means that they are tailored to the characteristics of the field in question. Legal systems are, of course, normative in character. However, the enforcement of their norms at the national level, is backed up by the monopoly of force enjoyed by the State. Moral systems do not have such peremptory enforcement. Legal systems may be thought of more narrowly or more broadly. In a narrow sense, one may speak of the criminal code or the labor code or even the whole body of laws (including the Constitution) of a given country. In a broader sense, one may add the actual functioning of the institutions and mechanisms that are meant to make laws and to apply the laws already passed. Finally, in the broadest possible connotation, legal systems would include also the social and political processes which may lead to particular interests or values to be enshrined in new laws and institutions. For instance, it took many decades of social and political activism and much intellectual debate to gain the right to vote for women worldwide. This broadest connotation of legal systems also includes those processes which consist in seeking alternative ways to enforce laws and to protect rights when the institutions charged with doing so have ceased to function effectively. For instance, under a dictatorial government, with no independent judiciary, people have often come up with imaginative ways to denounce human rights violations and to protect victims. Traditionally, this broadest connotation has been regarded as the terrain of social activism, politics or ethics, not of the law. However, in times of rapid social and technological change, such as the present times, many new social demands come to the fore and much pressure is exerted for them to be taken in by new laws. Today there is a need for norms to regulate many technological, environmental and human challenges. The response of formal law-making mechanisms is generally slow to come and insufficient. Therefore, the so-called ""soft power"" of citizen activism flexes its muscles and puts pressure on governments to act. We have a clear example of this in the citizens´ protests which erupted worldwide in 2011 to denounce gross social and economic inequality and to demand better social policies. Some of them go on until today. In sum, the narrow connotation of normative systems may be said to amount to the rules of the game. The broader connotation of normative systems would be equivalent to the practice of the game, and the broadest connotation may be compared to the demands of the players to modify or improve the rules of the game in light of the shortcomings discovered when playing it. Please visit moocchile.com and we invite you to watch the next lesson of this human rights course.",1228,4,"The speaker demonstrates high curiosity by exploring the nuances of ethics, morals, and legal systems, seeking to understand the distinctions and implications of these concepts. For instance, they delve into the difference between morals and ethics, noting that 'morals is about formulating prescriptive norms based on what is being considered right or wrong or ultimately good or bad' and 'ethics, instead, is about studying the field of morals.' This level of inquiry suggests a strong desire to learn and understand complex ideas.",5,"The speaker exhibits advanced critical thinking by analyzing complex concepts, identifying relationships between ideas, and evaluating the implications of different perspectives. For example, they discuss how 'the realm of what ought to be is not logically connected with reality, but it does pull it, to some extent, toward what is considered desirable, in the manner of a gravitational force.' This demonstrates the ability to deconstruct systems, synthesize viewpoints, and develop evidence-based solutions.",3,"The speaker shows adaptive creativity by applying existing concepts to new contexts, such as comparing the 'cusp' values or norms to different fields like family relations, schooling, or corporations. However, the transcript does not demonstrate novel or transformative ideas, as the speaker primarily builds upon established theories and frameworks, such as the distinction between morals and ethics.",success
kCQqLNiO0mk,"Hi I'm Governor Tom Wolf I'm in Penn Treaty School in Philadelphia and this has been quite a week. On Tuesday I kicked off the new budget session with my budget speech and basically what I talked about was just the honest truth. We have a real budget crisis that we're facing here in Pennsylvania. For years the outside rating agencies, the Independent Fiscal Office -- everybody's been saying we have not had a balanced budget. We need to change that. And I said that on Tuesday. Once we balance our budget, we have to make sure that we're investing the dollars we raised wisely. If we don't -- we don't invest wisely -- we're going to be hurting our schools, we're going to be hurting basically our future. Now, there might thirty percent or so of the school districts in Pennsylvania who are wealthy enough that they don't have to worry about making ends meet. They don't worry about the state doing its share in terms of education funding. But, on average, Pennsylvania ranks 45th in terms of the state's share of funding for education. That means in most school districts, the local areas -- the local taxpayers -- have to come up with the lion's share of support and in poorer areas they just don't get the support they need. We need to have an education system that works all of us in Pennsylvania. I'm from York County, I need Penn Treaty here in Philadelphia to work. I was in Altoona, I was in Clairton -- those school districts have to work. I was in Hazleton, I was up in Easton -- all school districts, every school has to deliver a high class education to all of our children in Pennsylvania if we want to have a strong economy and a strong future. Two futures we have: one, the state does its role with a balanced budget, we get to that future. The other, the state keeps doing what it's doing and the responsibility for education -- and so many other things --gets to the lower the local level and property taxes go through the roof. We need a bright future for Pennsylvania. Thank you.",367,2,"The speaker presents a clear understanding of the budget crisis and its implications on education, but does not demonstrate a desire to explore new information or possibilities beyond the current situation. The speech is more informative than inquisitive, lacking questions or prompts for further discussion, as seen in the straightforward presentation of Pennsylvania's ranking in education funding.",3,"The speaker identifies a significant issue with the budget and its impact on education, recognizing the disparity in funding between wealthy and poorer school districts. However, the analysis remains at a competent level, lacking a deeper examination of biases, assumptions, or edge cases, such as potential consequences of increasing state funding or alternative solutions, as noted in the statement 'we need to have an education system that works for all of us in Pennsylvania'.",2,"The speech presents a conventional approach to addressing the budget crisis and education funding, emphasizing the need for a balanced budget and increased state support. While the speaker highlights the importance of education for Pennsylvania's future, the proposed solution does not introduce novel or original ideas, instead relying on established concepts, such as the need for a 'high class education' and the role of the state in funding education.",success
WTF9xgqLIvI,"(Half bell) (Bell) When I am angry, how do I let my anger out? How to let my anger out? Do you think that your anger has come from the outside, went in, and now you want to let it out again? Are you sure that the anger is coming from the outside? That is a counter question. (Laughter) In Plum Village, we learn how to deal with our anger, how to take care of our anger. Anger is not something pleasant. It is like the mud. But without the mud, we cannot grow lotus flowers. So the mud is useful, somehow... so your anger is useful, somehow. So, maybe you should not let it out. You should not throw it away. If you know how to make good use of your anger, you can grow the lotus of peace, of joy, of forgiveness. This is a very deep teaching in Plum Village. We have been learning about this. Anger comes ""up"" -- not from the outside, but from inside. Because we do not understand, that is why we cannot love. And, if we look deeply, if we listen deeply, we'll be able to understand. And, when we understand, there is love. And when there is love, anger just transforms itself. You don't have to take anger and throw it away. In fact, anger is something that you can use. And, if you hold that anger in understanding, in compassion, then, anger becomes something like love... like compassion. I will give you an example. The other fellow, this morning, said something unkind to you. He did something or he said something unkind to you, and you suffered. And, anger is coming up. And, usually, if you are not good practitioner, you want to give that boy or that girl a punch, to punish him or her. And that is anger ""in"" us. And that anger is a kind of mud to smear everything. So, we need to be aware that we have to control that mud of anger and do not let the mud to smear us and the other person. So, you might like to breathe in, calmly, mindfully, and look at that boy or girl. And, what do you see in him or in her? You see that there is a violence in him. There is anger, suffering in him or in her. If that boy or girl is happy, he or she would not have said something mean like that. He or she wouldn't have done something violent like that. But, he does not have the happiness in him. That is why he suffers. And, when he suffers like that, he wants to get his suffering out, by saying something mean to you, or doing something unkind to you. And, he thinks that, by doing so, he will suffer less. That is not very intelligent. So, when you look and you see that that boy is unhappy, there is anger or violence in him, and he does not know how to handle the violence in him, the unhappiness in him, that is why he suffers. And, when he suffers like that, it is natural that he makes people around him suffer like that. So, when you see the anger in him or in her, and you understand that anger... you are no longer angry at him. Poor little boy. Poor little girl. They suffer. I don't want to punish him, to make him suffer more. I want to make him suffer less. And, you smile to him. . You say: ""Dear friend, I know that you suffer."" ""I am not angry at you,"" ""even if you have said something"" ""like that to me."" ""Even if you have done something like that to me."" ""Because you suffer a lot."" ""So, I do not blame you."" ""I am not angry at you."" ""I am breathing in and out."" ""I understand you."" ""That is why I am not angry at you."" ""I do not suffer."" You are a good practitioner. And, he will be amazed. Other people will react differently. They will hit him or tell him something very mean. But you are not doing that. You are reacting in a very different way; with tenderness, with loving kindness, ...smiles. And, he will be amazed. And, one day, he will ask you: ""How can you do that?!"" ""When someone said something"" ""very brutal, very mean,"" ""and did something violent like that"" ""and you can still keep your calm,"" ""your peace."" ""How?!"" And, then, you tell him, you tell her how you have come to Plum Village and learn that kind of mindful breathing, and recognize the anger in yourself, and recognize anger in you and in that person. So, you come here as a very young people, and we learn these wonderful things. And, you might be able to share that with your friends, when you go back to school. That is also a good question. (Half bell) (Bell) Subtitles by the Amara.org community",834,4,"The speaker demonstrates high curiosity by exploring the nature of anger, questioning its origin, and seeking to understand its implications, as seen in phrases like 'Are you sure that the anger is coming from the outside?' and 'How to let my anger out?'. This inquiry-driven approach indicates a desire to delve deeper into the subject. The speaker's reflective questions encourage the audience to think critically about their emotions.",5,"The speaker exhibits advanced critical thinking by analyzing the root causes of anger, recognizing biases and assumptions, and offering evidence-based solutions, such as mindful breathing and compassion. The statement 'Anger comes ""up"" -- not from the outside, but from inside. Because we do not understand, that is why we cannot love' showcases the ability to deconstruct complex emotions and synthesize new perspectives. The speaker's approach is logical, well-structured, and supported by personal anecdotes.",5,"The speaker demonstrates transformative creativity by redefining the conventional understanding of anger and offering a novel approach to managing it, as seen in the metaphor 'Anger is like the mud. But without the mud, we cannot grow lotus flowers'. This paradigm-shifting perspective encourages the audience to rethink their relationship with anger and cultivate compassion instead of aggression. The speaker's use of storytelling and analogies, such as the example of the unkind fellow, further illustrates creative problem-solving and communication skills.",success
